,Open,High,Low,Close,Volume
1999-11-01,2.7810,2.8750,2.7810,2.8750,300
1999-11-02,2.8750,2.8750,2.6250,2.6250,1300
1999-11-03,2.5000,2.6250,2.5000,2.6250,10100
1999-11-04,2.5000,2.6250,2.5000,2.5630,5000
1999-11-05,2.5630,2.5630,2.5630,2.5630,100
1999-11-08,2.5630,2.5630,2.5630,2.5630,500
1999-11-09,2.5000,2.6250,2.4380,2.4380,17900
1999-11-10,2.6250,2.6250,2.6250,2.6250,700
1999-11-11,2.5000,2.8750,2.5000,2.7500,6900
1999-11-12,2.7500,2.8750,2.6250,2.7500,12200
1999-11-15,2.5000,2.8750,2.5000,2.8750,18400
1999-11-16,2.7500,2.8750,2.7500,2.8750,20100
1999-11-17,2.7500,2.9380,2.6250,2.6250,12500
1999-11-18,2.6880,2.6880,2.6250,2.6250,2200
1999-11-19,2.7500,2.7500,2.7500,2.7500,500
1999-11-22,2.6880,2.7500,2.6880,2.7500,35300
1999-11-23,2.7500,2.7500,2.7500,2.7500,10500
1999-11-24,2.7500,2.7500,2.7500,2.7500,15000
1999-11-26,2.7500,2.8440,2.7500,2.8440,1200
1999-11-29,2.8750,2.9380,2.7500,2.9380,6200
1999-11-30,2.8130,2.8440,2.6250,2.8440,12600
1999-12-01,2.8400,2.8400,2.8400,2.8400,0
1999-12-02,2.8440,2.8440,2.8440,2.8440,5000
1999-12-03,2.7500,2.7500,2.6250,2.7500,108400
1999-12-06,2.7500,2.8750,2.6250,2.8750,25500
1999-12-07,2.8800,2.8800,2.8800,2.8800,0
1999-12-08,2.8130,2.8130,2.3750,2.5630,10400
1999-12-09,2.5000,2.8130,2.5000,2.5000,29700
1999-12-10,2.6250,2.6250,2.2500,2.4380,31100
1999-12-13,2.4380,2.6250,2.2500,2.5000,13400
1999-12-14,2.2500,2.5000,2.2500,2.5000,18300
1999-12-15,2.2500,2.4380,2.2500,2.4380,3100
1999-12-16,2.2500,2.2500,2.2500,2.2500,18400
1999-12-17,2.2500,2.4400,2.2500,2.3100,18600
1999-12-20,2.3750,2.4380,2.2500,2.3750,18500
1999-12-21,2.3130,2.3750,2.3130,2.3750,8100
1999-12-22,2.3750,2.4380,2.3750,2.3750,9100
1999-12-23,2.3750,2.3750,2.3750,2.3750,2000
1999-12-27,2.3750,2.3750,2.2500,2.2500,3100
1999-12-28,2.2500,2.5000,2.2500,2.3750,2800
1999-12-29,2.2500,2.5000,2.2500,2.2500,22200
1999-12-30,2.5000,2.5000,2.3130,2.3130,8600
1999-12-31,2.3130,2.4380,2.2500,2.3130,15500
2000-01-03,2.3800,2.4400,2.2500,2.3100,5100
2000-01-04,2.3750,2.3750,2.3750,2.3750,100
2000-01-05,2.3130,2.4380,2.3130,2.4380,7800
2000-01-06,2.3130,2.3130,2.3130,2.3130,500
2000-01-07,2.3100,2.3800,2.3100,2.3800,4500
2000-01-10,2.3750,2.3750,2.3130,2.3750,24200
2000-01-11,2.3130,2.3750,2.2810,2.3130,4300
2000-01-12,2.3130,2.3130,2.3130,2.3130,2200
2000-01-13,2.4380,2.4380,2.3130,2.3750,47700
2000-01-14,2.4380,2.4380,2.4380,2.4380,3100
2000-01-18,2.4380,2.5000,2.2500,2.2810,8200
2000-01-19,2.4530,2.6250,2.4530,2.6250,4300
2000-01-20,2.5000,2.5000,2.2500,2.5000,14600
2000-01-21,2.4380,2.5000,2.2500,2.5000,29000
2000-01-24,2.3750,2.8130,2.3750,2.8130,3700
2000-01-25,2.3750,2.3750,2.3750,2.3750,1300
2000-01-26,2.8130,2.8130,2.8130,2.8130,100
2000-01-27,2.5630,2.8750,2.5630,2.7500,7200
2000-01-28,2.5630,2.7500,2.5000,2.7500,5300
2000-01-31,2.8750,2.8750,2.5630,2.5630,1700
2000-02-01,2.8750,2.8750,2.7190,2.8750,5200
2000-02-02,2.5630,2.7500,2.5630,2.7500,14800
2000-02-03,2.6250,2.6250,2.6250,2.6250,100
2000-02-04,2.5630,2.5630,2.5630,2.5630,500
2000-02-07,2.7190,2.7500,2.6250,2.7500,2800
2000-02-08,2.7500,2.7500,2.5630,2.5630,900
2000-02-09,2.6880,2.7500,2.6880,2.7500,3600
2000-02-10,2.6880,2.6880,2.6880,2.6880,500
2000-02-11,2.8750,2.8750,2.7500,2.7500,700
2000-02-14,2.7500,2.7500,2.6880,2.6880,3600
2000-02-15,2.6880,2.7970,2.6880,2.7970,20000
2000-02-16,2.6880,2.6880,2.6880,2.6880,100
2000-02-17,2.8130,2.8130,2.6250,2.7500,6500
2000-02-18,2.6880,2.6880,2.6880,2.6880,400
2000-02-22,2.8750,2.9060,2.6250,2.6250,9800
2000-02-23,2.5000,2.6250,2.5000,2.5630,8900
2000-02-24,2.5630,2.5630,2.5630,2.5630,100
2000-02-25,2.5630,2.9060,2.5630,2.6560,1000
2000-02-28,2.7500,2.9380,2.3750,2.4380,6000
2000-02-29,2.5000,2.5000,2.5000,2.5000,5000
2000-03-01,2.6250,2.6250,2.4380,2.5630,1300
2000-03-02,2.6880,2.6880,2.4380,2.4380,15000
2000-03-03,2.5310,2.5310,2.5310,2.5310,2200
2000-03-06,2.5000,2.5000,2.4380,2.5000,2200
2000-03-07,2.4380,2.4380,2.4380,2.4380,200
2000-03-08,2.6250,2.9380,2.6250,2.9380,7400
2000-03-09,2.9380,2.9380,2.5000,2.5000,7400
2000-03-10,2.6880,2.8750,2.6880,2.8750,600
2000-03-13,2.8130,2.8130,2.5000,2.8130,4200
2000-03-14,2.8130,2.8130,2.8130,2.8130,400
2000-03-15,2.5310,2.5310,2.5310,2.5310,2300
2000-03-16,2.6880,2.6880,2.6880,2.6880,700
2000-03-17,2.6250,2.7810,2.6250,2.7810,2500
2000-03-20,2.7810,2.7810,2.5310,2.5310,1000
2000-03-21,2.5310,2.5310,2.5310,2.5310,200
2000-03-22,2.5630,2.5630,2.5630,2.5630,1400
2000-03-23,2.7810,2.7810,2.5310,2.5310,4000
2000-03-24,2.5000,2.8440,2.4060,2.7500,12200
2000-03-27,2.7500,2.7810,2.6880,2.7810,26300
