,Open,High,Low,Close,Volume
2022-08-09,25.0500,25.1500,24.9826,24.9826,662
2022-08-10,25.8100,26.1600,25.7300,26.1006,8670
2022-08-11,26.5460,26.5460,25.8916,25.8916,3428
2022-08-12,26.6600,26.8654,26.6500,26.8654,2984
2022-08-15,26.8200,27.2200,26.8100,27.1563,14825
2022-08-16,27.9200,27.9200,26.7400,27.1406,6877
2022-08-17,27.3400,27.7612,27.1500,27.5293,5786
2022-08-18,27.2200,27.5700,27.2200,27.4800,2325
2022-08-19,27.2000,27.2000,26.6400,26.7340,5710
2022-08-22,26.1900,26.2100,25.5000,25.5758,8030
2022-08-23,25.6200,25.6800,25.4956,25.4956,1739
2022-08-24,25.3400,25.6700,25.3400,25.5471,1727
2022-08-25,26.1244,26.2181,25.9200,26.2181,1639
2022-08-26,26.2500,26.2500,24.5019,24.5700,4056
2022-08-29,23.7600,24.2000,23.7476,23.9220,10137
2022-08-30,23.3100,23.3500,23.1299,23.2925,1222
2022-08-31,23.4800,23.4800,22.8500,22.8500,2223
2022-09-01,22.6300,23.0078,22.3600,23.0078,5992
2022-09-02,23.3100,23.5500,22.4700,22.5000,9473
2022-09-06,22.5400,22.5400,21.9600,22.1500,2465
2022-09-07,22.2400,22.4800,22.0500,22.4490,5715
2022-09-08,21.8600,22.1300,21.8600,22.1300,2253
2022-09-09,22.5400,22.8190,22.4400,22.8146,3704
2022-09-12,23.6300,24.5100,23.6299,24.3100,8310
2022-09-13,23.5300,26.7400,21.8000,21.8800,6145
2022-09-14,21.8892,22.5000,21.7600,22.2168,4609
2022-09-15,22.0100,22.0100,21.3466,21.4500,3357
2022-09-16,20.6100,21.0600,20.6100,21.0300,1860
2022-09-19,21.2000,21.9578,21.2000,21.9578,5230
2022-09-20,22.0600,22.7000,22.0600,22.5226,3219
2022-09-21,22.7500,22.9800,21.7700,21.7700,5974
2022-09-22,21.3641,21.5200,21.0900,21.5200,3947
2022-09-23,21.0000,21.1000,20.5401,20.9100,3557
2022-09-26,20.7000,21.4200,20.7000,20.9994,1424
2022-09-27,21.4700,21.4700,21.2034,21.2034,910
2022-09-28,20.2900,20.8200,19.6200,20.7800,9459
