,Open,High,Low,Close,Volume
2022-08-09,25.2800,25.2800,25.0000,25.0202,1457
2022-08-10,24.5999,24.7300,24.3631,24.3631,20270
2022-08-11,24.2900,24.4821,24.1900,24.4821,15281
2022-08-12,24.2900,24.3500,23.9602,23.9602,30432
2022-08-15,24.0099,24.0099,23.7800,23.8056,36507
2022-08-16,23.8800,23.9901,23.7300,23.8400,44534
2022-08-17,23.9100,23.9100,23.4000,23.6132,85702
2022-08-18,23.7500,23.7801,23.5650,23.6800,75429
2022-08-19,23.8700,24.0400,23.7370,24.0400,115603
2022-08-22,24.3200,24.6100,24.2739,24.6000,76267
2022-08-23,24.6200,24.7700,24.4100,24.6500,108772
2022-08-24,24.6000,24.7559,24.5000,24.5900,42949
2022-08-25,24.3120,24.4040,24.2158,24.2158,28667
2022-08-26,24.1000,25.1022,24.1000,25.1006,56693
2022-08-29,25.5500,25.6790,25.2400,25.4614,55744
2022-08-30,25.4000,26.0110,25.3300,25.8391,61850
2022-08-31,25.7700,26.1200,25.6009,26.0972,28146
2022-09-01,26.2800,26.5000,25.9701,26.0091,78493
2022-09-02,25.7600,26.5100,25.6400,26.4116,31823
2022-09-06,26.2900,26.6890,26.2900,26.6359,51474
2022-09-07,26.5900,26.6510,26.2510,26.3691,27403
2022-09-08,26.5600,26.9049,26.3010,26.6530,53573
2022-09-09,26.4000,26.5500,26.0700,26.0934,37756
2022-09-12,25.7700,25.7700,24.9800,25.1161,80746
2022-09-13,25.5800,26.6300,25.5600,26.5546,75632
2022-09-14,26.4500,26.6100,26.0310,26.3134,57382
2022-09-15,26.4100,26.9900,26.3700,26.8152,24925
2022-09-16,27.0900,27.5190,27.0300,27.0800,60632
2022-09-19,27.4300,27.4300,26.4469,26.4469,33949
2022-09-20,26.5500,26.5500,25.8300,26.0000,48237
2022-09-21,25.8500,26.5300,25.7750,26.5300,70003
2022-09-22,26.8100,27.0290,26.4210,26.6596,96916
2022-09-23,27.0400,27.4300,26.9700,27.1800,99160
2022-09-26,27.2500,27.2500,26.5300,27.0700,331673
2022-09-27,26.6900,27.1599,26.3700,26.8963,126312
2022-09-28,27.6200,28.0911,27.1200,27.1944,173624
2022-09-29,27.9300,28.8900,27.8283,28.5900,198771
2022-09-30,28.8600,29.4900,28.4825,29.4900,221790
2022-10-03,29.3400,29.4900,28.4100,28.6200,175290
2022-10-04,28.0000,28.1100,27.7900,27.8300,260552
2022-10-05,28.1900,28.3636,27.6000,27.7500,200330
2022-10-06,27.8200,27.9800,27.6050,27.9800,81225
2022-10-07,28.5400,29.0885,28.4100,28.9800,122298
2022-10-10,28.9400,29.2591,28.6200,28.8900,115339
2022-10-11,29.0100,29.3400,28.7400,29.2200,148712
2022-10-12,29.2000,29.3600,28.9398,29.3600,91822
2022-10-13,30.0600,30.1700,28.2800,28.3900,142647
2022-10-14,28.1000,29.3200,28.0700,29.2800,121712
2022-10-17,28.7100,28.8500,28.3310,28.4200,72926
2022-10-18,27.7600,28.7500,27.5900,28.1800,201442
2022-10-19,28.5800,28.5800,27.9600,28.1700,150076
2022-10-20,28.0915,28.3800,27.7618,28.2600,181847
2022-10-21,28.2500,28.3911,27.3800,27.4900,165798
2022-10-24,27.4700,27.7000,26.9435,27.0500,76684
2022-10-25,26.9400,27.0815,26.5500,26.6200,93004
2022-10-26,26.8000,27.2900,26.6300,27.0700,126811
2022-10-27,27.1600,28.0298,27.1600,27.8850,362852
2022-10-28,27.2700,27.2800,25.4800,25.8300,838690
2022-10-31,26.2200,26.4253,26.0600,26.2000,265300
2022-11-01,25.8700,26.9000,25.8601,26.6539,169134
2022-11-02,26.9000,27.6900,26.4700,27.6900,155500
2022-11-03,28.2600,28.8500,28.1048,28.8300,242551
2022-11-04,28.1400,29.7300,28.0000,28.9600,358632
