priority,symbol,identifier,series,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,totalTradedVolume,totalTradedValue,yearHigh,yearLow,nearWKH,nearWKL,perChange365d,date365dAgo,perChange30d,date30dAgo,chart365dPath,chart30dPath,chartTodayPath
1,NIFTY TOTAL MARKET,NIFTY TOTAL MARKET,,13136.3,13238.25,13037.9,13221.3,13188.1,33.19999999999891,0.25,2160499315,950320131196.05,13842.6,7145.35,4.488318668458246,-85.03362326548033,35.96,19-Oct-2023,-1.84,18-Sep-2024,https://nsearchives.nseindia.com/365d/NIFTY-TOTAL-MKT.svg,https://nsearchives.nseindia.com/30d/NIFTY-TOTAL-MKT.svg,https://nsearchives.nseindia.com/today/NIFTY-TOTAL-MKT.svg
0,MOTILALOFS,MOTILALOFSEQN,EQ,932.9,1064,898.1,1023.5,929.4,94.1,10.12,17840410,17891076764.4,1064,225.51,3.806390977443609,-353.86013923994506,2.95,19-Oct-2023,32.87,18-Sep-2024,https://nsearchives.nseindia.com/365d/MOTILALOFS-EQ.svg,https://nsearchives.nseindia.com/30d/MOTILALOFS-EQ.svg,https://nsearchives.nseindia.com/today/MOTILALOFSEQN.svg
0,MAZDOCK,MAZDOCKEQN,EQ,4306,4655,4285,4549,4237.8,311.2,7.34,8493150,38305805130,5860,1742,22.372013651877133,-161.1366245694604,112.53,19-Oct-2023,8.34,18-Sep-2024,https://nsearchives.nseindia.com/365d/MAZDOCK-EQ.svg,https://nsearchives.nseindia.com/30d/MAZDOCK-EQ.svg,https://nsearchives.nseindia.com/today/MAZDOCKEQN.svg
0,WABAG,WABAGEQN,EQ,1768.05,1905.65,1680.05,1897.1,1777.9,119.2,6.7,1894092,3500054724.96,1905.65,440.05,0.44866580956629926,-331.1101011248722,282.3,19-Oct-2023,33.91,18-Sep-2024,https://nsearchives.nseindia.com/365d/WABAG-EQ.svg,https://nsearchives.nseindia.com/30d/WABAG-EQ.svg,https://nsearchives.nseindia.com/today/WABAGEQN.svg
0,HEMIPROP,HEMIPROPEQN,EQ,182.5,199.8,179.44,196.6,184.27,12.33,6.69,2793606,543579855.48,264.95,123.15,25.797320249103603,-59.64271213966706,55.24,19-Oct-2023,3.32,18-Sep-2024,https://nsearchives.nseindia.com/365d/HEMIPROP-EQ.svg,https://nsearchives.nseindia.com/30d/HEMIPROP-EQ.svg,https://nsearchives.nseindia.com/today/HEMIPROPEQN.svg
0,ABREL,ABRELEQN,EQ,2855.95,3125,2780.65,3039.95,2856,183.95,6.44,992436,2978548545,3125,1046.45,2.721600000000006,-190.50121840508382,-,-,-,-,-,-,https://nsearchives.nseindia.com/today/ABRELEQN.svg
0,AXISBANK,AXISBANKEQN,EQ,1158,1203.85,1156.05,1196.95,1131.85,65.1,5.75,20829666,24695860306.26,1339.65,951.4,10.652035979546898,-25.809333613622037,20.72,19-Oct-2023,-3.51,18-Sep-2024,https://nsearchives.nseindia.com/365d/AXISBANK-EQ.svg,https://nsearchives.nseindia.com/30d/AXISBANK-EQ.svg,https://nsearchives.nseindia.com/today/AXISBANKEQN.svg
0,FINPIPE,FINPIPEEQN,EQ,312,332.7,301.15,330,312.4,17.6,5.63,5904539,1910649775.0099998,355.9,185.8,7.27732509131778,-77.61033369214208,46.28,19-Oct-2023,8.11,18-Sep-2024,https://nsearchives.nseindia.com/365d/FINPIPE-EQ.svg,https://nsearchives.nseindia.com/30d/FINPIPE-EQ.svg,https://nsearchives.nseindia.com/today/FINPIPEEQN.svg
0,ANANDRATHI,ANANDRATHIEQN,EQ,4025,4374.65,4006.1,4299,4078.1,227.9,5.6,411323,1761104103.88,4374.65,1739.9,1.72928119963882,-147.0831656991781,126.51,19-Oct-2023,9.77,18-Sep-2024,https://nsearchives.nseindia.com/365d/ANANDRATHI-EQ.svg,https://nsearchives.nseindia.com/30d/ANANDRATHI-EQ.svg,https://nsearchives.nseindia.com/today/ANANDRATHIEQN.svg
0,PARADEEP,PARADEEPEQN,EQ,89.75,96.5,89.15,94.9,90.04,4.86,5.4,17805097,1686320736.87,98.35,58.65,3.507880020335525,-61.807331628303515,41.96,19-Oct-2023,9.91,18-Sep-2024,https://nsearchives.nseindia.com/365d/PARADEEP-EQ.svg,https://nsearchives.nseindia.com/30d/PARADEEP-EQ.svg,https://nsearchives.nseindia.com/today/PARADEEPEQN.svg
0,TEJASNET,TEJASNETEQN,EQ,1119.2,1218,1102.85,1180,1125.4,54.6,4.85,2623188,3133057051.56,1495,651.25,21.070234113712374,-81.19001919385796,33.52,19-Oct-2023,-3.61,18-Sep-2024,https://nsearchives.nseindia.com/365d/TEJASNET-EQ.svg,https://nsearchives.nseindia.com/30d/TEJASNET-EQ.svg,https://nsearchives.nseindia.com/today/TEJASNETEQN.svg
0,DOMS,DOMSEQN,EQ,2799.9,3038.6,2750,2924,2790,134,4.8,897558,2640849001.0800004,3038.6,1225.6,3.771473704995719,-138.57702349869453,-,-,4.55,18-Sep-2024,-,https://nsearchives.nseindia.com/30d/DOMS-EQ.svg,https://nsearchives.nseindia.com/today/DOMSEQN.svg
0,INOXWIND,INOXWINDEQN,EQ,214.9,228.01,208.5,225.5,215.74,9.76,4.52,22760633,5015077875.22,261.9,47.38,13.89843451699121,-375.9392148585901,3.6,19-Oct-2023,-10.57,18-Sep-2024,https://nsearchives.nseindia.com/365d/INOXWIND-EQ.svg,https://nsearchives.nseindia.com/30d/INOXWIND-EQ.svg,https://nsearchives.nseindia.com/today/INOXWINDEQN.svg
